,features,importance_vals
188,R-HSA-167161,0.002601623409282183
578,R-HSA-5358749,0.0026002193786553106
671,hsa.mir.196a.1,0.0025858775537926705
729,hsa.mir.3155a,0.0025629265373572708
696,hsa.mir.24.2,0.0025585870650684226
1038,hsa.mir.6798,0.002554857962495589
382,R-HSA-5654710,0.002543896676834265
741,hsa.mir.3191,0.0025436841336886574
33,R-HSA-210991,0.0025320818245563714
129,R-HSA-1482839,0.0025284635875050298
954,hsa.mir.5685,0.0025253619719296694
1079,hsa.mir.8072,0.0025229150128143374
386,R-HSA-5655302,0.0025132940677940496
238,R-HSA-933542,0.002507910860949778
695,hsa.mir.24.1,0.002499913393266979
